"","month","wy","load","yield","load_yield_adj","pH_mean","gpp_mean","cc_cumulative_precip","cc_precip_sd_year","cc_temp_mean","cc_temp_sd_year","va_gpp_sum","va_gpp_sd_year","va_gpp_sd_space","va_npp_median","va_npp_sd"
"1",1,1986,3443663868851.5,85172261.773978,40431.7532155006,5.07581413210445,2.05645161290323,1258.569,7.6708,4.9786,10.2075,12028.3807,581.8956,27.5774,7160.0629,305.194
"2",2,1986,609803277970.634,10422190.8411429,58510.0855727341,5.1683843537415,3.04910714285714,1258.569,7.6708,4.9786,10.2075,12028.3807,581.8956,27.5774,7160.0629,305.194
"3",3,1986,4104361715888.97,79200932.3473633,51822.1388845255,5.08691244239631,90.3346774193548,1258.569,7.6708,4.9786,10.2075,12028.3807,581.8956,27.5774,7160.0629,305.194
"4",1,1987,581815883341.581,8458527.73112488,68784.5334124366,5.24296082949309,0,1111.043,7.0937,5.3256,10.4454,12223.9152,608.977,29.1496,7110.6738,304.6122
"5",2,1987,334288307640.963,4613560.51885714,72457.7701483737,5.36209183673469,0.859375,1111.043,7.0937,5.3256,10.4454,12223.9152,608.977,29.1496,7110.6738,304.6122
"6",3,1987,6518793893764.09,113822764.996228,57271.4420878822,5.28227342549923,71.9159310584677,1111.043,7.0937,5.3256,10.4454,12223.9152,608.977,29.1496,7110.6738,304.6122
"7",1,1988,602224054707.494,8453827.09028571,71236.8550096689,5.33408410138249,2.05645161290323,1006.631,7.5919,4.8925,11.2402,11639.3479,566.2988,29.7116,6566.0045,294.456
"8",2,1988,830717794712.839,12359148.264,67214.8093839582,5.28711206896552,0.435344827586207,1006.631,7.5919,4.8925,11.2402,11639.3479,566.2988,29.7116,6566.0045,294.456
"9",3,1988,1854782787283.53,33241404.3067402,55797.3655435323,5.22852534562212,60.8249680038306,1006.631,7.5919,4.8925,11.2402,11639.3479,566.2988,29.7116,6566.0045,294.456
"10",1,1989,272902660143.746,5045141.49381818,54092.1717414931,5.33479262672811,1.54233870967742,1212.898,7.0222,4.3015,11.8218,12321.8394,613.722,25.2481,7174.1328,326.7428
"11",2,1989,536950249131.853,7761699.16114286,69179.4719151149,5.37107142857143,0.497767857142857,1212.898,7.0222,4.3015,11.8218,12321.8394,613.722,25.2481,7174.1328,326.7428
"12",3,1989,2375417497118.57,41239962.3612256,57599.8948862273,5.28841013824885,44.5745967741936,1212.898,7.0222,4.3015,11.8218,12321.8394,613.722,25.2481,7174.1328,326.7428
"13",1,1990,1839239234261.06,29556792.9325714,62227.2936870031,5.12472350230415,3.60483870967742,1495.654,9.6966,6.4251,9.8758,12299.1114,604.5003,31.8696,7143.778,332.9728
"14",2,1990,1758578700981.78,28431526.70849,61853.1223811012,5.02459183673469,3.95535714285714,1495.654,9.6966,6.4251,9.8758,12299.1114,604.5003,31.8696,7143.778,332.9728
"15",3,1990,4772608468921.12,85094226.7327452,56086.1606265067,5.00209677419355,41.2802419354839,1495.654,9.6966,6.4251,9.8758,12299.1114,604.5003,31.8696,7143.778,332.9728
"16",1,1991,854101125460.716,13587753.312,62858.1565950582,5.16557603686636,1.69354838709677,1135.175,7.6241,6.0275,10.6384,13064.7505,632.8369,29.0735,7543.1803,332.76
"17",2,1991,688377636984.637,11039761.9817143,62354.3911657544,5.19918367346939,8.42633928571429,1135.175,7.6241,6.0275,10.6384,13064.7505,632.8369,29.0735,7543.1803,332.76
"18",3,1991,3207327235873.25,56617136.0066014,56649.4079725136,5.07559907834101,71.1956888114919,1135.175,7.6241,6.0275,10.6384,13064.7505,632.8369,29.0735,7543.1803,332.76
"19",1,1992,1994801291526.87,33613592.5883061,59345.078521028,5.13447004608295,1.37096774193548,1003.66,6.0027,4.4518,10.3787,12134.1043,614.3076,27.3482,7415.9824,282.5316
"20",2,1992,439733696473.204,6706310.4,65570.1377128629,5.34465517241379,2.34051724137931,1003.66,6.0027,4.4518,10.3787,12134.1043,614.3076,27.3482,7415.9824,282.5316
"21",3,1992,3196803386011.26,54533160.861764,58621.2743859618,5.22778801843318,32.241935483871,1003.66,6.0027,4.4518,10.3787,12134.1043,614.3076,27.3482,7415.9824,282.5316
"22",1,1993,1189138936637.8,18875548.0023827,62998.9093025376,5.21428571428571,1.0625,1084.373,6.1706,4.8184,11.1627,11976.8615,602.9382,21.7086,6987.2525,246.3292
"23",2,1993,422664742087.011,6305235.96342857,67033.9293467426,5.32142857142857,0.125,1084.373,6.1706,4.8184,11.1627,11976.8615,602.9382,21.7086,6987.2525,246.3292
"24",3,1993,2862093041739.26,55143230.985361,51902.889812515,5.2878801843318,38.4741647106855,1084.373,6.1706,4.8184,11.1627,11976.8615,602.9382,21.7086,6987.2525,246.3292
"25",1,1994,662259133499.264,10441591.7554286,63425.1126658879,5.28347926267281,0,1106,6.0563,4.9602,11.6162,12536.4789,624.0729,24.8218,7354.6324,263.3118
"26",2,1994,702170790238.812,11435349.0872727,61403.5290816186,5.295,2.64285714285714,1106,6.0563,4.9602,11.6162,12536.4789,624.0729,24.8218,7354.6324,263.3118
"27",3,1994,1370359568080.91,22629133.776,60557.3143738397,5.28926267281106,39.8064516129032,1106,6.0563,4.9602,11.6162,12536.4789,624.0729,24.8218,7354.6324,263.3118
"28",1,1995,2907629747220.25,49443713.2850433,58806.8644937274,5.19948732718894,4.01008064516129,1185.204,8.1695,5.289,10.8762,12208.7844,619.7555,23.7121,6955.9324,258.1219
"29",2,1995,484465472313.592,6962060.472,69586.507365458,5.32683673469388,3.24553571428571,1185.204,8.1695,5.289,10.8762,12208.7844,619.7555,23.7121,6955.9324,258.1219
"30",3,1995,3342286248674.61,53118859.2737648,62920.8965397597,5.19382488479263,29.5604838709677,1185.204,8.1695,5.289,10.8762,12208.7844,619.7555,23.7121,6955.9324,258.1219
"31",1,1996,9175862640270.96,170159079.034811,53925.2015955832,5.18391705069124,1.54233870967742,1539.155,9.5784,5.1302,10.6958,12637.4646,628.8582,22.3965,7491.7619,292.0395
"32",2,1996,2729575050037.04,48129492.3660659,56713.148546764,5.12307881773399,4.32543103448276,1539.155,9.5784,5.1302,10.6958,12637.4646,628.8582,22.3965,7491.7619,292.0395
"33",3,1996,2064605175780.29,35533060.032978,58103.7820515358,5.2010599078341,35.9314516129032,1539.155,9.5784,5.1302,10.6958,12637.4646,628.8582,22.3965,7491.7619,292.0395
"34",1,1997,685418167305.48,13271168.6331429,51647.1598133223,5.25995391705069,0.274193548387097,1177.644,7.0063,4.5219,10.3699,12096.8731,621.7113,19.5594,7179.2401,251.3895
"35",2,1997,981377895363.365,17132770.6671043,57280.7466131357,5.36571428571429,3.765625,1177.644,7.0063,4.5219,10.3699,12096.8731,621.7113,19.5594,7179.2401,251.3895
"36",3,1997,1624952444775.56,29955666.2556444,54245.2446528168,5.17755760368664,22.0262096774194,1177.644,7.0063,4.5219,10.3699,12096.8731,621.7113,19.5594,7179.2401,251.3895
"37",1,1998,2237363283747.34,43638655.173986,51270.2161610399,5.40557603686636,2.40524193548387,1326.322,8.4014,6.7954,9.6147,13415.2978,616.2683,25.2387,7955.6754,304.3808
"38",2,1998,1363311303250.96,21313379.592,63965.0458701858,5.41336734693878,7.82142857142857,1326.322,8.4014,6.7954,9.6147,13415.2978,616.2683,25.2387,7955.6754,304.3808
"39",3,1998,5185575011239.13,99693340.6782171,52015.2597551802,5.23552995391705,92.5286779606855,1326.322,8.4014,6.7954,9.6147,13415.2978,616.2683,25.2387,7955.6754,304.3808
"40",1,1999,3125088094351.41,49350919.9111837,63323.8063236835,5.29198156682028,1.75403225806452,1257.228,9.564,6.4139,10.5466,12568.4042,610.5063,27.2419,7083.8054,278.5261
"41",2,1999,1085766494257.82,16345564.9363402,66425.7551504932,5.24982142857143,6.27232142857143,1257.228,9.564,6.4139,10.5466,12568.4042,610.5063,27.2419,7083.8054,278.5261
"42",3,1999,4150260931513.35,75536769.4879123,54943.5852188185,5.10505376344086,83.184504328629,1257.228,9.564,6.4139,10.5466,12568.4042,610.5063,27.2419,7083.8054,278.5261
"43",1,2000,1180284380723.82,17518905.1019221,67372.0403105742,5.38078341013825,0.548387096774194,1245.823,6.882,4.987,10.5127,12614.3976,626.1387,32.7082,7562.8848,270.3927
"44",2,2000,925957946005.363,15560773.2925714,59505.9081316612,5.46332512315271,5.17241379310345,1245.823,6.882,4.987,10.5127,12614.3976,626.1387,32.7082,7562.8848,270.3927
"45",3,2000,5552127349196.79,94912017.8409956,58497.6220661347,5.10847926267281,79.2644622133064,1245.823,6.882,4.987,10.5127,12614.3976,626.1387,32.7082,7562.8848,270.3927
"46",1,2001,384983252316.118,5531203.11085714,69602.0819702749,5.49329493087558,0,882.214,6.4169,6.0203,10.4776,13545.3884,641.925,26.4726,7548.6178,288.6231
"47",2,2001,492410353384.551,6657862.16571429,73959.2291231705,5.61005102040816,0.491071428571429,882.214,6.4169,6.0203,10.4776,13545.3884,641.925,26.4726,7548.6178,288.6231
"48",3,2001,585996494294.782,8073666.7252987,72581.2092860573,5.67691244239631,25.9414692540323,882.214,6.4169,6.0203,10.4776,13545.3884,641.925,26.4726,7548.6178,288.6231
"49",1,2002,669719434822.843,9868853.664,67861.9278007812,5.48347926267281,2.60483870967742,1053.531,6.382,5.797,10.3576,12488.9087,622.3594,23.6199,6931.2006,259.124
"50",2,2002,1446760075549.21,23986256.8516364,60316.2087564533,5.36270408163265,3.92633928571429,1053.531,6.382,5.797,10.3576,12488.9087,622.3594,23.6199,6931.2006,259.124
"51",3,2002,3001657597013.7,52368756.6332707,57317.7174710062,5.20101382488479,49.5968005635081,1053.531,6.382,5.797,10.3576,12488.9087,622.3594,23.6199,6931.2006,259.124
"52",1,2003,497589533591.277,7950298.068,62587.5318554505,5.53700460829493,0,1368.004,8.366,4.9354,11.5031,13455.5528,652.0153,27.2334,7746.1504,303.4415
"53",2,2003,260707658386.09,3749787.23815385,69525.9868969114,5.71446428571429,2.01116071428571,1368.004,8.366,4.9354,11.5031,13455.5528,652.0153,27.2334,7746.1504,303.4415
"54",3,2003,4253487831496.23,76772588.471653,55403.7308910948,5.51359447004608,49.8509191290323,1368.004,8.366,4.9354,11.5031,13455.5528,652.0153,27.2334,7746.1504,303.4415
"55",1,2004,822714501457.643,14734347.9737143,55836.5054853696,5.35732718894009,0.274193548387097,1105.499,7.1357,5.1848,10.9162,13685.5405,638.3706,26.9145,8131.1135,296.7621
"56",2,2004,238028540546.515,3574534.176,66590.0866593126,5.60633004926108,3.93103448275862,1105.499,7.1357,5.1848,10.9162,13685.5405,638.3706,26.9145,8131.1135,296.7621
"57",3,2004,1843857134740.91,34412919.7548132,53580.3746929382,5.36451612903226,72.1855725322581,1105.499,7.1357,5.1848,10.9162,13685.5405,638.3706,26.9145,8131.1135,296.7621
"58",1,2005,957962070865.427,16136771.7188571,59365.1622242366,5.47907834101382,1.60685483870968,1642.979,9.5737,6.0148,11.0094,13646.5511,652.0781,29.0578,7579.6716,302.1647
"59",2,2005,657523217650.136,10470743.9622857,62796.2272803586,5.58357142857143,1.68526785714286,1642.979,9.5737,6.0148,11.0094,13646.5511,652.0781,29.0578,7579.6716,302.1647
