"","month","wy","load","yield","load_yield_adj","pH_mean","gpp_mean","precip_mean","cc_cumulative_precip","cc_precip_sd_year","cc_temp_mean","cc_temp_sd_year","va_gpp_sum","va_gpp_sd_year","va_gpp_sd_space","va_npp_median","va_npp_sd"
"1",10,1986,1981793565722.15,36399153.4953351,54446.1443581687,5.02143548387097,0,3.35251612546328,1258.569,7.6708,4.9786,10.2075,12028.3807,581.8956,27.5774,7160.0629,305.194
"2",11,1986,2592514462084.85,43904590.3590743,59048.8247557246,5.04225,0,4.89716673965255,1258.569,7.6708,4.9786,10.2075,12028.3807,581.8956,27.5774,7160.0629,305.194
"3",12,1986,1096591011268.74,18876552.9711968,58092.757345157,5.12665898617511,0,2.01590327594069,1258.569,7.6708,4.9786,10.2075,12028.3807,581.8956,27.5774,7160.0629,305.194
"4",10,1987,1381595498693.93,22411594.5104483,61646.4615246284,5.21072196620584,153.935483870968,1.65090324765732,1111.043,7.0937,5.3256,10.4454,12223.9152,608.977,29.1496,7110.6738,304.6122
"5",11,1987,2771374285419.31,43956559.9900384,63048.0248237662,5.17780952380952,29.5666666666667,4.11580005337795,1111.043,7.0937,5.3256,10.4454,12223.9152,608.977,29.1496,7110.6738,304.6122
"6",12,1987,1871716799955.51,29971849.7590048,62449.1586273606,5.15346774193548,3.91935483870968,3.25290322111499,1111.043,7.0937,5.3256,10.4454,12223.9152,608.977,29.1496,7110.6738,304.6122
"7",10,1988,1738550976313.83,28378932.0050312,61262.0297340863,5.25119815668203,160.08064516129,4.49151612430691,1006.631,7.5919,4.8925,11.2402,11639.3479,566.2988,29.7116,6566.0045,294.456
"8",11,1988,2065854454271.99,34847473.9842198,59282.7605010189,5.14766666666667,46.6645833333333,2.14213330235798,1006.631,7.5919,4.8925,11.2402,11639.3479,566.2988,29.7116,6566.0045,294.456
"9",12,1988,1596403690768.06,26379554.3544935,60516.7043125628,5.17603686635945,7.45362903225806,2.07919354980526,1006.631,7.5919,4.8925,11.2402,11639.3479,566.2988,29.7116,6566.0045,294.456
"10",10,1989,341960312657.292,4837295.66057143,70692.4564162151,5.5886866359447,151.385080645161,1.79719355888665,1212.898,7.0222,4.3015,11.8218,12321.8394,613.722,25.2481,7174.1328,326.7428
"11",11,1989,2053366368208.14,37272676.0793766,55090.3928613887,5.107,42.9375,5.64303339111308,1212.898,7.0222,4.3015,11.8218,12321.8394,613.722,25.2481,7174.1328,326.7428
"12",12,1989,592575992623.468,9906006.74493507,59819.8656513586,5.26972350230415,0.673387096774194,1.32174196249745,1212.898,7.0222,4.3015,11.8218,12321.8394,613.722,25.2481,7174.1328,326.7428
"13",10,1990,4992654044786.6,87846185.4886937,56834.0448365761,5.1021198156682,204.129032258065,4.93080639300658,1495.654,9.6966,6.4251,9.8758,12299.1114,604.5003,31.8696,7143.778,332.9728
"14",11,1990,3861753784014.44,65641876.7871943,58830.642465235,5.06059523809524,30.85,4.74296671605359,1495.654,9.6966,6.4251,9.8758,12299.1114,604.5003,31.8696,7143.778,332.9728
"15",12,1990,508005529624.384,7869969.01028571,64549.8767479824,5.15465437788018,0.629032258064516,1.23283871816051,1495.654,9.6966,6.4251,9.8758,12299.1114,604.5003,31.8696,7143.778,332.9728
"16",10,1991,5042909725853.74,83786507.1860937,60187.6112898846,5.18161290322581,211.258064516129,5.73312899938995,1135.175,7.6241,6.0275,10.6384,13064.7505,632.8369,29.0735,7543.1803,332.76
"17",11,1991,2710884297276.64,45484668.2257054,59599.957590646,5.07471428571429,52.88125,3.36256665077526,1135.175,7.6241,6.0275,10.6384,13064.7505,632.8369,29.0735,7543.1803,332.76
"18",12,1991,3549482667209.04,68772502.8646422,51611.9454630743,5.0523732718894,4.29233870967742,4.66838708039253,1135.175,7.6241,6.0275,10.6384,13064.7505,632.8369,29.0735,7543.1803,332.76
"19",10,1992,3626885731272.93,62950317.7096475,57615.0504593417,5.06822580645161,190.161290322581,4.52058069875854,1003.66,6.0027,4.4518,10.3787,12134.1043,614.3076,27.3482,7415.9824,282.5316
"20",11,1992,1680604744597.44,27721056.3040414,60625.5665788763,5.12564285714286,41.4083333333333,2.95300000309944,1003.66,6.0027,4.4518,10.3787,12134.1043,614.3076,27.3482,7415.9824,282.5316
"21",12,1992,1977985351725.35,33683407.6487736,58722.8398133099,5.04453917050691,3.21774193548387,2.9342580692422,1003.66,6.0027,4.4518,10.3787,12134.1043,614.3076,27.3482,7415.9824,282.5316
"22",10,1993,1419516356725.6,23136499.6494419,61353.9808628676,5.25345622119816,138.818548387097,2.30725805088878,1084.373,6.1706,4.8184,11.1627,11976.8615,602.9382,21.7086,6987.2525,246.3292
"23",11,1993,4357227632936.74,75968256.0233044,57355.8991745195,5.10861904761905,23,4.21223336904465,1084.373,6.1706,4.8184,11.1627,11976.8615,602.9382,21.7086,6987.2525,246.3292
"24",12,1993,1135629008107.22,17976007.9974312,63174.7053221994,5.21442396313364,4.35483870967742,1.45732255655551,1084.373,6.1706,4.8184,11.1627,11976.8615,602.9382,21.7086,6987.2525,246.3292
"25",10,1994,1214237066513.88,21057975.5405056,57661.6239380782,5.24366359447005,140.870967741935,2.49532253126944,1106,6.0563,4.9602,11.6162,12536.4789,624.0729,24.8218,7354.6324,263.3118
"26",11,1994,4334273399509,79850519.0038865,54279.8400508585,5.1425,30.46875,4.45566664338112,1106,6.0563,4.9602,11.6162,12536.4789,624.0729,24.8218,7354.6324,263.3118
"27",12,1994,1970105322487.38,35749613.862094,55108.4364180034,5.04281105990783,4.61088709677419,3.16051611592693,1106,6.0563,4.9602,11.6162,12536.4789,624.0729,24.8218,7354.6324,263.3118
"28",10,1995,463253414165.973,6941737.65693507,66734.5032411539,5.5447465437788,204.129032258065,0.808612901642318,1185.204,8.1695,5.289,10.8762,12208.7844,619.7555,23.7121,6955.9324,258.1219
"29",11,1995,1013503436375.14,14606795.808,69385.7468603792,5.50038095238095,51.96875,2.82039993057648,1185.204,8.1695,5.289,10.8762,12208.7844,619.7555,23.7121,6955.9324,258.1219
"30",12,1995,2651860837831.21,40818876.1508571,64966.5323472048,5.30072004608295,9.67540322580645,2.78141940697547,1185.204,8.1695,5.289,10.8762,12208.7844,619.7555,23.7121,6955.9324,258.1219
"31",10,1996,4815509296259.91,84647571.0776438,56888.9246903829,5.1763133640553,213.865958709677,8.75841922529282,1539.155,9.5784,5.1302,10.6958,12637.4646,628.8582,22.3965,7491.7619,292.0395
"32",11,1996,4319792093606.55,75881710.2371661,56927.9748717466,4.98385714285714,22.2229166666667,5.41133329781393,1539.155,9.5784,5.1302,10.6958,12637.4646,628.8582,22.3965,7491.7619,292.0395
"33",12,1996,562416201121.392,8926432.13116484,63005.7107764063,5.22760368663594,0.429435483870968,2.7631935330611,1539.155,9.5784,5.1302,10.6958,12637.4646,628.8582,22.3965,7491.7619,292.0395
"34",10,1997,981784479825.524,18610337.8174741,52754.7908831445,5.70092165898618,205.451612903226,6.9682580155711,1177.644,7.0063,4.5219,10.3699,12096.8731,621.7113,19.5594,7179.2401,251.3895
"35",11,1997,3302458683273.97,62630013.3271218,52729.6500165975,5.22914285714286,25.5,2.64263330828398,1177.644,7.0063,4.5219,10.3699,12096.8731,621.7113,19.5594,7179.2401,251.3895
"36",12,1997,4312782248518.95,99046570.5504633,43542.9740227262,5.11207373271889,8.5,5.58467733163026,1177.644,7.0063,4.5219,10.3699,12096.8731,621.7113,19.5594,7179.2401,251.3895
"37",10,1998,260253824002.217,3874793.58632727,67165.8549556182,5.94020737327189,205.193548387097,1.36448387945852,1326.322,8.4014,6.7954,9.6147,13415.2978,616.2683,25.2387,7955.6754,304.3808
"38",11,1998,1920872148808.62,34620159.5115308,55484.2085048407,5.37104761904762,32.725,6.23036662605591,1326.322,8.4014,6.7954,9.6147,13415.2978,616.2683,25.2387,7955.6754,304.3808
"39",12,1998,605358929698.096,9099483.696,66526.7338150408,5.54884792626728,2.71774193548387,1.93758063311238,1326.322,8.4014,6.7954,9.6147,13415.2978,616.2683,25.2387,7955.6754,304.3808
"40",10,1999,1756753361385.42,25110665.2895297,69960.4467316894,5.62910138248848,226.903225806452,3.88087103155351,1257.228,9.564,6.4139,10.5466,12568.4042,610.5063,27.2419,7083.8054,278.5261
"41",11,1999,2408162140462.02,35102118.8133306,68604.466678162,5.40866666666667,52.0229166666667,3.28409998662149,1257.228,9.564,6.4139,10.5466,12568.4042,610.5063,27.2419,7083.8054,278.5261
"42",12,1999,1527043580113.51,21253774.0771677,71848.1138723484,5.34995391705069,5.26814516129032,1.36387097475029,1257.228,9.564,6.4139,10.5466,12568.4042,610.5063,27.2419,7083.8054,278.5261
"43",10,2000,2129772917703.68,33824342.9239064,62965.6848765684,5.45527649769585,162.693548387097,3.65945164401144,1245.823,6.882,4.987,10.5127,12614.3976,626.1387,32.7082,7562.8848,270.3927
"44",11,2000,3047147997501.11,47583716.1768312,64037.621319387,5.29261904761905,29.5354166666667,2.81259999287625,1245.823,6.882,4.987,10.5127,12614.3976,626.1387,32.7082,7562.8848,270.3927
"45",12,2000,1393491009282.41,20269777.3146933,68747.2283315261,5.28797235023041,0.997983870967742,1.55283871441779,1245.823,6.882,4.987,10.5127,12614.3976,626.1387,32.7082,7562.8848,270.3927
"46",10,2001,853719942014.782,12074156.1900229,70706.3854880582,5.77829493087558,190.71675751129,2.7315160924749,882.214,6.4169,6.0203,10.4776,13545.3884,641.925,26.4726,7548.6178,288.6231
"47",11,2001,1877628622847.3,29801817.8083011,63003.8286565291,5.44990476190476,13.269323025,3.59553330685012,882.214,6.4169,6.0203,10.4776,13545.3884,641.925,26.4726,7548.6178,288.6231
"48",12,2001,4130571275768.54,78047976.2080099,52923.4898386081,5.32168202764977,0.0443548387096774,3.75519351372796,882.214,6.4169,6.0203,10.4776,13545.3884,641.925,26.4726,7548.6178,288.6231
"49",10,2002,286146787190.651,3685217.36192481,77647.1939340898,5.87043778801843,266.967741935484,1.4519677299165,1053.531,6.382,5.797,10.3576,12488.9087,622.3594,23.6199,6931.2006,259.124
"50",11,2002,988526558165.35,15674272.6563131,63066.8216535842,5.50142857142857,88.2958333333333,1.96916666893521,1053.531,6.382,5.797,10.3576,12488.9087,622.3594,23.6199,6931.2006,259.124
"51",12,2002,1483159702084.97,23551549.1319476,62975.038023001,5.34672811059908,10.375,2.14329032910868,1053.531,6.382,5.797,10.3576,12488.9087,622.3594,23.6199,6931.2006,259.124
"52",10,2003,386353018080.395,6650152.03449351,58096.8699777734,5.81320276497696,177.387096774194,3.14296773797081,1368.004,8.366,4.9354,11.5031,13455.5528,652.0153,27.2334,7746.1504,303.4415
"53",11,2003,1862223992665.72,36985600.1109064,50349.9736946699,5.27014285714286,28.2916666666667,3.83446669777234,1368.004,8.366,4.9354,11.5031,13455.5528,652.0153,27.2334,7746.1504,303.4415
"54",12,2003,895679696381.666,15339467.4857143,58390.5339097212,5.39412442396313,0.411290322580645,2.8291612925391,1368.004,8.366,4.9354,11.5031,13455.5528,652.0153,27.2334,7746.1504,303.4415
"55",10,2004,4518555864510.29,87329788.606409,51741.2893883803,5.28214285714286,192.91935483871,6.12977424357086,1105.499,7.1357,5.1848,10.9162,13685.5405,638.3706,26.9145,8131.1135,296.7621
"56",11,2004,4411262359196.48,78849369.8332153,55945.4358167647,5.20080952380952,51.1145833333333,4.42693327267965,1105.499,7.1357,5.1848,10.9162,13685.5405,638.3706,26.9145,8131.1135,296.7621
"57",12,2004,5775272332662.82,107373500.293542,53786.7566659756,5.17755760368664,3.64717741935484,6.35003229639223,1105.499,7.1357,5.1848,10.9162,13685.5405,638.3706,26.9145,8131.1135,296.7621
"58",10,2005,492954800306.391,7951992.44548391,61991.3567179443,5.78603686635945,225.864919354839,1.45803224439583,1642.979,9.5737,6.0148,11.0094,13646.5511,652.0781,29.0578,7579.6716,302.1647
"59",11,2005,3112861543431.87,55740511.8640601,55845.5859003145,5.46119047619048,37,4.41963325669058,1642.979,9.5737,6.0148,11.0094,13646.5511,652.0781,29.0578,7579.6716,302.1647
"60",12,2005,4539949367719.37,82093617.3200455,55302.0991878112,5.34041474654378,1.90322580645161,3.97790320816961,1642.979,9.5737,6.0148,11.0094,13646.5511,652.0781,29.0578,7579.6716,302.1647
"61",10,2006,5267679053408.56,109090062.640588,48287.4326579466,5.35470046082949,284.016129032258,10.916677297123,1544.39,9.605,6.8883,9.495,13174.7411,620.6343,34.4453,7635.292,268.6596
"62",11,2006,3553717016400.68,67660105.2922733,52523.0784233869,5.40380952380952,51.4729166666667,5.51840010538387,1544.39,9.605,6.8883,9.495,13174.7411,620.6343,34.4453,7635.292,268.6596
"63",12,2006,1773974012229.83,34600941.1455584,51269.5306398493,5.34875576036866,2.09072580645161,3.59922577877859,1544.39,9.605,6.8883,9.495,13174.7411,620.6343,34.4453,7635.292,268.6596
"64",10,2007,3934685074519.06,74188136.5940646,53036.580444775,5.74718894009217,233.903225806452,8.21538705263107,1272.168,6.8799,5.2097,11.2415,13555.6616,653.6992,32.8038,7987.4985,294.7018
"65",11,2007,4024846959010.59,74965204.5707891,53689.5347922376,5.38152380952381,86.96875,4.43986658807456,1272.168,6.8799,5.2097,11.2415,13555.6616,653.6992,32.8038,7987.4985,294.7018
"66",12,2007,2689121259938.48,47605841.0773853,56487.2124739316,5.41066244239631,9.86895161290323,3.54245165750504,1272.168,6.8799,5.2097,11.2415,13555.6616,653.6992,32.8038,7987.4985,294.7018
"67",10,2008,3140834157407.32,53015380.4561598,59243.8294393563,5.6394930875576,301.564516129032,4.92348391394461,1625.47,9.206,5.6001,10.3612,14261.0789,702.1269,34.3651,8395.9026,305.133
"68",11,2008,3362153417712.82,55303820.554022,60794.2341782444,5.47690476190476,30.85625,4.46703335953255,1625.47,9.206,5.6001,10.3612,14261.0789,702.1269,34.3651,8395.9026,305.133
"69",12,2008,1319583445268.07,23749138.9988571,55563.422544774,5.43253456221198,3.97782258064516,4.1629677362019,1625.47,9.206,5.6001,10.3612,14261.0789,702.1269,34.3651,8395.9026,305.133
"70",10,2009,3499834669016.22,60843852.3657662,57521.5824267137,5.61149769585253,199.925403225806,3.72319358683402,1373.772,7.9321,5.4143,10.7339,13826.1615,640.3595,36.4366,8275.8517,298.2289
