wy,month,load,yield,load_yield_adj,pH_mean,gpp_mean,precip_mean,vb_bare_cover_median,vb_bare_cover_sd,hd_bfi_mean,hd_bfi_sd,cc_cumulative_precip,cc_precip_sd_year,cc_precip_sd_space,cc_temp_mean,cc_temp_sd_year,cc_temp_sd_space,vd_eos_mean,vd_eos_sd,vb_fpar_max,vb_fpar_min,vb_fpar_mean,vb_fpar_sd_year,vb_fpar_sd_space,pd_geo_Al2O3_mean,pd_geo_Al2O3_sd,pd_geo_CaO_mean,pd_geo_CaO_sd,pd_geo_CompressStrength_mean,pd_geo_CompressStrength_sd,pd_geo_Fe2O3_mean,pd_geo_Fe2O3_sd,pd_geo_HydaulicCond_mean,pd_geo_HydaulicCond_sd,pd_geo_K2O_mean,pd_geo_K2O_sd,pd_geo_MgO_mean,pd_geo_MgO_sd,pd_geo_N_mean,pd_geo_N_sd,pd_geo_Na2O_mean,pd_geo_Na2O_sd,pd_geo_P2O5_mean,pd_geo_P2O5_sd,pd_geo_S_mean,pd_geo_S_sd,pd_geo_SiO2_mean,pd_geo_SiO2_sd,va_gpp_sum,va_gpp_sd_year,va_gpp_sd_space,vb_lai_max,vb_lai_min,vb_lai_mean,vb_lai_sd_year,vb_lai_sd_space,vd_los_mean,vd_los_sd,vd_mos_mean,vd_mos_sd,vb_ndvi_max,vb_ndvi_min,vb_ndvi_mean,vb_ndvi_sd_year,vb_ndvi_sd_space,vg_nlcd_1992_water,vg_nlcd_1992_ice_snow,vg_nlcd_1992_res_low,vg_nlcd_1992_res_hi,vg_nlcd_1992_commercial,vg_nlcd_1992_barren,vg_nlcd_1992_mines,vg_nlcd_1992_barren_tran,vg_nlcd_1992_forest_dec,vg_nlcd_1992_forest_evr,vg_nlcd_1992_forest_mix,vg_nlcd_1992_shrub,vg_nlcd_1992_orchards,vg_nlcd_1992_grass,vg_nlcd_1992_pasture,vg_nlcd_1992_row_crop,vg_nlcd_1992_small_grains,vg_nlcd_1992_fallow,vg_nlcd_1992_urban_grass,vg_nlcd_1992_wetland_wood,vg_nlcd_1992_wetland_herb,vg_nlcd_barren,vg_nlcd_crop,vg_nlcd_dev_hi,vg_nlcd_dev_low,vg_nlcd_dev_med,vg_nlcd_dev_open,vg_nlcd_forest_dec,vg_nlcd_forest_evr,vg_nlcd_forest_mix,vg_nlcd_grass,vg_nlcd_ice_snow,vg_nlcd_pasture,vg_nlcd_shrub,vg_nlcd_water,vg_nlcd_wetland_herb,vg_nlcd_wetland_wood,vg_nlcd_shrub_dwr,vg_nlcd_sedge,vg_lncd_lichens,vg_nlcd_moss,va_npp_median,va_npp_sd,pi_soil_thickness,vd_sos_mean,vd_sos_sd,vh_tcw_max,vh_tcw_min,vh_tcw_mean,vh_tcw_sd_year,te_slope_mean,te_slope_sd,te_elev_mean,te_elev_sd,te_elev_min,te_elev_max,te_aspect_mean,te_aspect_sd,vb_tree_cover_median,vb_tree_cover_sd,vb_veg_cover_median,vb_veg_cover_sd,area
1971,1,895482933456.2701,8743891.206857143,102412.40567517739,5.049493087557604,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,2,1403703393670.4321,13706380.43717647,102412.4056751774,5.107091836734694,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,3,1460515443175.3418,14261118.402077923,102412.40567517739,5.01479262672811,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,4,12249938260768.527,119613812.21354957,102412.4056751774,4.872047619047619,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,5,7276651213268.459,71052439.0604386,102412.4056751774,4.938064516129033,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,6,509791285503.53546,5134512.728454554,99287.17922508265,5.427904761904762,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,7,268657705840.03125,3059382.2482220316,87814.36382987526,5.584377880184332,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,8,467864639783.78467,5923098.61031465,78989.84476959948,5.622407834101383,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,9,506095982893.6763,6260734.8149610385,80836.51485833229,5.269154761904762,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,10,3819178961353.947,37292151.63119281,102412.4056751774,5.0885023041474655,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,11,3237525677761.5405,31612631.85272727,102412.4056751774,5.087714285714286,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
