"","month","wy","load","yield","load_yield_adj","pH_mean","gpp_mean","precip_mean","cc_cumulative_precip","cc_precip_sd_year","cc_temp_mean","cc_temp_sd_year","va_gpp_sum","va_gpp_sd_year","va_gpp_sd_space","va_npp_median","va_npp_sd"
"1",7,1986,617095298109.767,9819083.17402742,62846.5292708849,5.3426267281106,1408.31565325645,4.519645109292,1258.569,7.6708,4.9786,10.2075,12028.3807,581.8956,27.5774,7160.0629,305.194
"2",8,1986,2245622138498.62,39054172.0368038,57500.1855469472,5.14338709677419,1206.71074215847,5.00258067538661,1258.569,7.6708,4.9786,10.2075,12028.3807,581.8956,27.5774,7160.0629,305.194
"3",9,1986,987235791291.368,16111720.6231261,61274.3861679387,5.21477777777778,608.623065550833,3.31899996043649,1258.569,7.6708,4.9786,10.2075,12028.3807,581.8956,27.5774,7160.0629,305.194
"4",7,1987,593930289400.209,9160753.5281532,64834.2177938658,5.29207373271889,1466.80210121895,2.68725806269644,1111.043,7.0937,5.3256,10.4454,12223.9152,608.977,29.1496,7110.6738,304.6122
"5",8,1987,279449069624.029,3188115.39238988,87653.3736172417,5.41391705069124,1175.14025416089,2.70812905434098,1111.043,7.0937,5.3256,10.4454,12223.9152,608.977,29.1496,7110.6738,304.6122
"6",9,1987,1441718143814.9,23798096.943681,60581.2366941263,5.35319047619048,563.496555317917,4.63586666534344,1111.043,7.0937,5.3256,10.4454,12223.9152,608.977,29.1496,7110.6738,304.6122
"7",7,1988,390928731188.111,5022206.94847552,77840.0283378956,5.67147465437788,1353.75668081028,4.39325806883074,1006.631,7.5919,4.8925,11.2402,11639.3479,566.2988,29.7116,6566.0045,294.456
"8",9,1988,355355881658.769,5989992.82056955,59324.9261398915,5.38137362637363,606.22842544625,1.78599999435246,1006.631,7.5919,4.8925,11.2402,11639.3479,566.2988,29.7116,6566.0045,294.456
"9",7,1989,196219803328.75,3004282.92037403,65313.3571402527,5.34718894009217,1451.34532285444,1.98470966798824,1212.898,7.0222,4.3015,11.8218,12321.8394,613.722,25.2481,7174.1328,326.7428
"10",8,1989,447321850582.052,6687778.57168788,66886.4624908112,5.26895161290323,1310.79079514355,4.29574199147042,1212.898,7.0222,4.3015,11.8218,12321.8394,613.722,25.2481,7174.1328,326.7428
"11",9,1989,610166172820.877,9099950.10076484,67051.5954554073,5.45375,572.80713585,3.9120333686471,1212.898,7.0222,4.3015,11.8218,12321.8394,613.722,25.2481,7174.1328,326.7428
"12",7,1990,909011496397.899,15082864.1354805,60267.8303160979,5.27745967741935,1484.02162430282,2.20812903765228,1495.654,9.6966,6.4251,9.8758,12299.1114,604.5003,31.8696,7143.778,332.9728
"13",8,1990,5660735502976.6,97010167.4570988,58351.981563994,5.26911290322581,1273.71951917802,8.60061282496298,1495.654,9.6966,6.4251,9.8758,12299.1114,604.5003,31.8696,7143.778,332.9728
"14",9,1990,490827881504.259,7189313.15373913,68271.8739618376,5.38758333333333,745.376301984375,2.9139999700555,1495.654,9.6966,6.4251,9.8758,12299.1114,604.5003,31.8696,7143.778,332.9728
"15",7,1991,163941868692.03,2565361.82824376,63905.9437491765,5.48801843317972,1475.11440611048,1.74154837080278,1135.175,7.6241,6.0275,10.6384,13064.7505,632.8369,29.0735,7543.1803,332.76
"16",8,1991,1806081621401.69,37619767.3211876,48008.8461468102,5.15996543778802,1278.01848300907,7.24225809748074,1135.175,7.6241,6.0275,10.6384,13064.7505,632.8369,29.0735,7543.1803,332.76
"17",9,1991,577887513246.024,8505859.82238655,67939.9290974774,5.42675,558.920588238958,4.25230000217756,1135.175,7.6241,6.0275,10.6384,13064.7505,632.8369,29.0735,7543.1803,332.76
"18",7,1992,671378304540.049,11377930.2806156,59007.0678921161,5.296866359447,1521.31224674677,3.60080643610338,1003.66,6.0027,4.4518,10.3787,12134.1043,614.3076,27.3482,7415.9824,282.5316
"19",8,1992,1565250370335.48,25379327.2210401,61674.2262985542,5.28502304147465,1210.62505857258,3.32380642381407,1003.66,6.0027,4.4518,10.3787,12134.1043,614.3076,27.3482,7415.9824,282.5316
"20",9,1992,2033065250215.34,34104316.9414762,59613.1350088062,5.23630952380952,707.065491716667,3.6046667129267,1003.66,6.0027,4.4518,10.3787,12134.1043,614.3076,27.3482,7415.9824,282.5316
"21",7,1993,200546779584.932,2399691.78582364,83571.89067766,5.77875576036866,1451.35080645161,3.69509683350747,1084.373,6.1706,4.8184,11.1627,11976.8615,602.9382,21.7086,6987.2525,246.3292
"22",8,1993,402768978405.119,5239791.83283117,76867.3625317468,5.54735599078341,1279.08064516129,3.62999999715436,1084.373,6.1706,4.8184,11.1627,11976.8615,602.9382,21.7086,6987.2525,246.3292
"23",9,1993,608844522876.597,10134029.2629515,60079.2149971817,5.42642261904762,578.270833333333,3.57299999190727,1084.373,6.1706,4.8184,11.1627,11976.8615,602.9382,21.7086,6987.2525,246.3292
"24",7,1994,318269355103.951,4401047.90144464,72316.7214334294,5.50064516129032,1539.5685483871,3.88693548053984,1106,6.0563,4.9602,11.6162,12536.4789,624.0729,24.8218,7354.6324,263.3118
"25",8,1994,420704571974.902,6574799.47207193,63987.4377556224,5.5794470046083,1275.25,2.94916127525991,1106,6.0563,4.9602,11.6162,12536.4789,624.0729,24.8218,7354.6324,263.3118
"26",9,1994,656660419686.047,9913083.02815038,66241.7955969214,5.713,683.883333333333,4.56810002670779,1106,6.0563,4.9602,11.6162,12536.4789,624.0729,24.8218,7354.6324,263.3118
"27",7,1995,512993074450.575,6992938.1772098,73358.731544694,5.37271889400922,1401.12096774194,3.75361291179433,1185.204,8.1695,5.289,10.8762,12208.7844,619.7555,23.7121,6955.9324,258.1219
"28",8,1995,2139777412739.53,37053781.3196161,57747.8825786327,5.32187096774194,1265.83064516129,2.32032259217193,1185.204,8.1695,5.289,10.8762,12208.7844,619.7555,23.7121,6955.9324,258.1219
"29",9,1995,228465436181.668,2690101.52836402,84928.1834803493,5.57804285714286,581.4875,2.64549999336402,1185.204,8.1695,5.289,10.8762,12208.7844,619.7555,23.7121,6955.9324,258.1219
"30",7,1996,3377403174882.17,65173400.9018018,51821.8034988073,5.26907834101382,1487.01814516129,6.57541936777172,1539.155,9.5784,5.1302,10.6958,12637.4646,628.8582,22.3965,7491.7619,292.0395
"31",8,1996,196076829558.749,2797289.08980451,70095.3041547993,5.57360902255639,1417.09274193548,0.88222580685115,1539.155,9.5784,5.1302,10.6958,12637.4646,628.8582,22.3965,7491.7619,292.0395
"32",9,1996,87740620766.157,1030039.07677922,85181.8370236097,5.78204545454545,713.7375,2.7828333367904,1539.155,9.5784,5.1302,10.6958,12637.4646,628.8582,22.3965,7491.7619,292.0395
"33",7,1997,1414014875653.44,19578894.2954431,72221.3856572351,5.45811059907834,1516.33870967742,4.93245163079231,1177.644,7.0063,4.5219,10.3699,12096.8731,621.7113,19.5594,7179.2401,251.3895
"34",8,1997,177598059940.294,2090869.43607205,84939.8134940138,5.68463133640553,1285.99596774194,4.55587089757225,1177.644,7.0063,4.5219,10.3699,12096.8731,621.7113,19.5594,7179.2401,251.3895
"35",9,1997,188387764321.401,2341791.40004137,80446.0057023326,5.90607142857143,699.25,2.7146000050474,1177.644,7.0063,4.5219,10.3699,12096.8731,621.7113,19.5594,7179.2401,251.3895
"36",7,1998,1087401376677.6,18007975.063502,60384.4337213412,5.35534562211982,1500.12096774194,3.08496771957124,1326.322,8.4014,6.7954,9.6147,13415.2978,616.2683,25.2387,7955.6754,304.3808
"37",8,1998,315978284287.101,4112853.79763042,76827.0159442937,5.64241935483871,1307.50806451613,3.42693546216094,1326.322,8.4014,6.7954,9.6147,13415.2978,616.2683,25.2387,7955.6754,304.3808
"38",9,1998,455921479595.973,5860614.97369934,77794.1362198354,5.75509523809524,699.333333333333,2.70336668069164,1326.322,8.4014,6.7954,9.6147,13415.2978,616.2683,25.2387,7955.6754,304.3808
"39",7,1999,373926405263.221,4565394.48771939,81904.5114872457,5.63430875576037,1482.66532258065,3.22432257463374,1257.228,9.564,6.4139,10.5466,12568.4042,610.5063,27.2419,7083.8054,278.5261
"40",8,1999,297215672878.905,4349608.21518154,68331.5963588459,5.76948156682028,1229.99596774194,2.64041936013006,1257.228,9.564,6.4139,10.5466,12568.4042,610.5063,27.2419,7083.8054,278.5261
"41",9,1999,5035042488564.38,82919690.2410401,60721.9162774,5.51429761904762,692.8875,8.68350017666817,1257.228,9.564,6.4139,10.5466,12568.4042,610.5063,27.2419,7083.8054,278.5261
"42",7,2000,259277871109.753,3542932.22813397,73181.7191000327,5.61041474654378,1496.57056451613,3.73006450493009,1245.823,6.882,4.987,10.5127,12614.3976,626.1387,32.7082,7562.8848,270.3927
"43",8,2000,630525324530.289,8580183.87517001,73486.22520258,5.66336405529954,1345.61290322581,2.47903226078638,1245.823,6.882,4.987,10.5127,12614.3976,626.1387,32.7082,7562.8848,270.3927
"44",9,2000,664078841009.267,8422320.87213559,78847.4876570312,5.74514285714286,713.852083333333,2.47949998998083,1245.823,6.882,4.987,10.5127,12614.3976,626.1387,32.7082,7562.8848,270.3927
"45",7,2001,134598747115.318,1411702.54259341,95344.9774681636,5.90441666666667,1582.88943010927,2.53296774830068,882.214,6.4169,6.0203,10.4776,13545.3884,641.925,26.4726,7548.6178,288.6231
"46",9,2001,674876455012.812,10202475.6457235,66148.30345571,5.715,840.264583333333,4.86560004254182,882.214,6.4169,6.0203,10.4776,13545.3884,641.925,26.4726,7548.6178,288.6231
"47",7,2002,119572793329.525,1355791.28041558,88194.1011546212,5.78294930875576,1564.47983870968,1.97806453650382,1053.531,6.382,5.797,10.3576,12488.9087,622.3594,23.6199,6931.2006,259.124
"48",8,2002,87726896031.4498,872581.554512014,100537.18827521,6.04238095238095,1241.78024193548,1.69219356691164,1053.531,6.382,5.797,10.3576,12488.9087,622.3594,23.6199,6931.2006,259.124
"49",9,2002,90769908207.9864,1331498.25194945,68171.2560081019,5.8621875,760.93125,3.03379997912173,1053.531,6.382,5.797,10.3576,12488.9087,622.3594,23.6199,6931.2006,259.124
"50",7,2003,159810451175.444,1864817.52070941,85697.6349700154,5.75652073732719,1553.02419354839,3.18693549594572,1368.004,8.366,4.9354,11.5031,13455.5528,652.0153,27.2334,7746.1504,303.4415
"51",8,2003,2554780084359.93,48086795.5702597,53128.5159275613,5.37384216589862,1425.14717741935,5.37006458263814,1368.004,8.366,4.9354,11.5031,13455.5528,652.0153,27.2334,7746.1504,303.4415
"52",9,2003,2966132144988.4,49295364.8272639,60170.6094555144,5.48326785714286,857.185416666667,5.21786670982838,1368.004,8.366,4.9354,11.5031,13455.5528,652.0153,27.2334,7746.1504,303.4415
"53",7,2004,1068409413972.31,16150908.2009407,66151.661608112,5.53617511520737,1553.86088709677,3.86777419981457,1105.499,7.1357,5.1848,10.9162,13685.5405,638.3706,26.9145,8131.1135,296.7621
"54",8,2004,3344543903010.77,54447653.7822857,61426.7772929988,5.5875633640553,1336.54838709677,5.24129024364295,1105.499,7.1357,5.1848,10.9162,13685.5405,638.3706,26.9145,8131.1135,296.7621
"55",9,2004,1649206875894.19,27778498.7712205,59369.9065409118,5.5071369047619,847.71875,2.91273329349157,1105.499,7.1357,5.1848,10.9162,13685.5405,638.3706,26.9145,8131.1135,296.7621
"56",7,2005,597586633053.38,9718073.79182418,61492.29218203,5.62847926267281,1605.76612903226,2.83435486449349,1642.979,9.5737,6.0148,11.0094,13646.5511,652.0781,29.0578,7579.6716,302.1647
"57",8,2005,586307643986.636,9869452.20327145,59406.3005637021,5.86806451612903,1386.78629032258,3.80983868307404,1642.979,9.5737,6.0148,11.0094,13646.5511,652.0781,29.0578,7579.6716,302.1647
"58",9,2005,2950474424769.54,50154469.7332747,58827.7463695736,5.82547619047619,925.1,4.23783327045385,1642.979,9.5737,6.0148,11.0094,13646.5511,652.0781,29.0578,7579.6716,302.1647
"59",7,2006,1121459033686.3,17177134.6876484,65287.8989470061,5.71691244239631,1556.72532135202,4.01551614461407,1544.39,9.605,6.8883,9.495,13174.7411,620.6343,34.4453,7635.292,268.6596
"60",8,2006,127624389775.856,1627614.82709244,78411.911498646,6.01336405529954,1368.36461617056,2.50912904960193,1544.39,9.605,6.8883,9.495,13174.7411,620.6343,34.4453,7635.292,268.6596
"61",9,2006,107873427459.013,1318021.344,81844.9776629818,6.1232619047619,759.460416666667,2.07876669247635,1544.39,9.605,6.8883,9.495,13174.7411,620.6343,34.4453,7635.292,268.6596
"62",7,2007,937418030534.67,15002569.8518242,62483.8304232717,5.74440092165899,1618.10887096774,3.79006453675609,1272.168,6.8799,5.2097,11.2415,13555.6616,653.6992,32.8038,7987.4985,294.7018
"63",8,2007,611567612174.973,8138338.5231123,75146.4946362411,5.85797235023041,1265.8064516129,2.57419352772676,1272.168,6.8799,5.2097,11.2415,13555.6616,653.6992,32.8038,7987.4985,294.7018
"64",9,2007,593164235484.985,9240970.63522217,64188.5207625405,5.847,797.745833333333,3.32733330180248,1272.168,6.8799,5.2097,11.2415,13555.6616,653.6992,32.8038,7987.4985,294.7018
"65",7,2008,1119700799581.44,18625549.4563179,60116.3902416651,5.68511520737327,1628.60887096774,4.77248382886436,1625.47,9.206,5.6001,10.3612,14261.0789,702.1269,34.3651,8395.9026,305.133
"66",8,2008,3266241070806.8,58622706.7371527,55716.3128862624,5.61811059907834,1502.96774193548,6.24712906261125,1625.47,9.206,5.6001,10.3612,14261.0789,702.1269,34.3651,8395.9026,305.133
"67",9,2008,1011317759823.33,17548220.3953083,57630.7874554457,5.77290476190476,732.089583333333,5.52186672134558,1625.47,9.206,5.6001,10.3612,14261.0789,702.1269,34.3651,8395.9026,305.133
"68",7,2009,3414863923826.1,57936154.9447615,58941.8460214,5.66350230414747,1543.66993249113,6.34767734619879,1373.772,7.9321,5.4143,10.7339,13826.1615,640.3595,36.4366,8275.8517,298.2289
"69",8,2009,2449825106533.93,43604113.8686746,56183.3480646398,5.66917050691244,1396.70564516129,4.80445156174321,1373.772,7.9321,5.4143,10.7339,13826.1615,640.3595,36.4366,8275.8517,298.2289
"70",9,2009,211725517958.231,3056481.77516883,69270.9898283416,6.06473809523809,731.816666666667,1.48990001877149,1373.772,7.9321,5.4143,10.7339,13826.1615,640.3595,36.4366,8275.8517,298.2289
"71",7,2010,820362426490.209,11334676.1968831,72376.3442590268,5.91396313364055,1575.30241935484,3.97864510888054,1405.173,8.6551,7.3891,10.3364,13758.4163,635.7247,34.2193,7899.6554,279.077
"72",8,2010,428231918651.456,5625420.18218958,76124.4324481332,5.98117511520737,1318.71370967742,2.48954840869673,1405.173,8.6551,7.3891,10.3364,13758.4163,635.7247,34.2193,7899.6554,279.077
"73",9,2010,2265807462721.06,28606870.7376195,79205.0092966444,6.2057380952381,728.033333333333,3.7452666775013,1405.173,8.6551,7.3891,10.3364,13758.4163,635.7247,34.2193,7899.6554,279.077
"74",7,2011,269910068170.524,3187575.09942857,84675.6734355562,6.14092165898618,1601.58467741935,2.20380645413553,1647.286,10.2129,6.8687,10.7871,13752.3762,665.1994,31.5477,7778.6731,278.3822
"75",8,2011,3757613508446.03,71311384.6284453,52693.0381176073,5.77052419354839,1357.71975806452,9.43261305326896,1647.286,10.2129,6.8687,10.7871,13752.3762,665.1994,31.5477,7778.6731,278.3822
"76",9,2011,2251746327606.77,37709552.5373164,59712.8890717677,5.65202976190476,758.114691748333,5.10223328232144,1647.286,10.2129,6.8687,10.7871,13752.3762,665.1994,31.5477,7778.6731,278.3822
"77",7,2012,250965363313.95,3029136.61371429,82850.4604835963,6.08935483870968,1526.23185483871,3.46277416916564,1375.782,9.0461,7.6578,9.8811,14664.7691,666.2762,36.9067,8251.4509,317.4769
"78",8,2012,2659122238465.16,39846260.4137663,66734.5495123671,5.97966589861751,1434.28225806452,5.70399996061479,1375.782,9.0461,7.6578,9.8811,14664.7691,666.2762,36.9067,8251.4509,317.4769
"79",9,2012,3750125208172.82,49172347.9967473,76264.9204471767,5.99408333333333,748.139583333333,4.52173329840104,1375.782,9.0461,7.6578,9.8811,14664.7691,666.2762,36.9067,8251.4509,317.4769
"80",7,2013,2888486935402.71,42259718.01,68350.833167396,5.88758064516129,1574.45564516129,5.74554829155245,1201.474,6.6952,6.4677,10.9753,13791.0064,630.3461,32.1122,7682.6522,318.8454
