X,budget,company,country,director,genre,gross,name,rating,release_month,runtime,score,star,votes,writer,year,budget_missing,region,direc_freq,comp_freq,season,id,afinn_score,sentiment_best,writer_count,writer_popularity,director_count,director_popularity,star_count,star_popularity
1,8000000,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,R,8,89,8.1,Wil Wheaton,299174,Stephen King,1986,0,North America,2.772588722239781,5.117993812416755,Summer,1,0,0,22,5,15,5,2,2
2,6000000,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,6,103,7.8,Matthew Broderick,264740,John Hughes,1986,0,North America,1.791759469228055,5.560681631015528,Summer,2,0,0,18,5,5,3,11,4
3,15000000,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,PG,5,110,6.9,Tom Cruise,236909,Jim Cash,1986,0,North America,2.772588722239781,5.560681631015528,Spring,3,1,1,2,3,15,5,27,5
4,18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,7,137,8.4,Sigourney Weaver,540152,James Cameron,1986,0,North America,1.9459101490553132,5.327876168789581,Summer,4,0,0,7,5,6,4,12,4
5,9000000,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,8,90,6.9,Joey Cramer,36636,Mark H. Baker,1986,0,North America,2.0794415416798357,4.634728988229636,Summer,5,0,0,1,1,7,4,1,1
6,6000000,Hemdale,UK,Oliver Stone,Drama,138530565,Platoon,R,2,120,8.1,Charlie Sheen,317585,Oliver Stone,1986,0,Western Europe,2.8903717578961645,2.3978952727983707,Winter,6,0,0,3,4,17,5,18,5
7,25000000,Henson Associates (HA),UK,Jim Henson,Adventure,12729917,Labyrinth,PG,6,101,7.4,David Bowie,102879,Dennis Lee,1986,0,Western Europe,0.6931471805599453,0.6931471805599453,Summer,7,0,0,1,1,1,1,1,1
8,6000000,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228,Blue Velvet,R,10,120,7.8,Isabella Rossellini,146768,David Lynch,1986,0,North America,2.0794415416798357,2.995732273553991,Fall,8,0,0,5,5,7,4,2,2
9,9000000,Paramount Pictures,USA,Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,2,96,6.8,Molly Ringwald,60565,John Hughes,1986,0,North America,2.3978952727983707,5.560681631015528,Winter,9,1,1,18,5,10,5,4,2
10,15000000,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,R,8,96,7.5,Jeff Goldblum,129698,George Langelaan,1986,0,North America,2.5649493574615367,0.6931471805599453,Summer,10,0,0,1,1,12,5,4,2
11,8800000,Rimfire Films,Australia,Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,9,97,6.5,Paul Hogan,79465,Ken Shadie,1986,0,Oceania,1.0986122886681098,0.6931471805599453,Fall,11,0,0,1,1,2,2,6,3
12,16000000,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000,Highlander,R,3,116,7.2,Christopher Lambert,104860,Gregory Widen,1986,0,Western Europe,1.9459101490553132,1.0986122886681098,Spring,12,0,0,6,5,6,4,10,4
13,6000000,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000,Lucas,PG-13,3,100,6.8,Corey Haim,12228,David Seltzer,1986,0,North America,1.3862943611198906,5.327876168789581,Spring,13,0,0,3,4,3,2,3,2
14,25000000,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,7,99,7.3,Kurt Russell,101678,Gary Goldman,1986,0,North America,2.302585092994046,5.327876168789581,Summer,14,-1,-1,2,3,9,5,18,5
